username,issue_score
jeresig,0.0
timmywil,0.270873786407767
dmethvin,0.27647058823529413
jzaefferer,0.0
mgol,0.2710843373493976
rwaldron,0.3
gibson042,0.26440677966101694
markelog,0.2709677419354839
brandonaaron,0.0
flesler,0.0
mikesherov,0.0
csnover,0.0
davids549,0.0
wycats,0.0
gnarf,0.3
louisremi,0.0
jitter,0.0
scottgonzalez,0.0
Krinkle,0.0
rkatic,0.0
jbedard,0.3
danheberden,0.0
azatoth,0.0
cowboy,0.0
kswedberg,0.0
jboesch,0.0
malsup,0.0
elijahmanor,0.0
mathiasbynens,0.0
pbakaus,0.0
sindresorhus,0.0
ajpiano,0.0
ChrisAntaki,0.0
dcneiner,0.0
gf3,0.0
james-huston,0.0
rdworth,0.0
stefanpetre,0.0
xavi-,0.0
coreyjewett,0.0
jrburke,0.0
carhartl,0.0
mr21,0.0
SlexAxton,0.0
cmcnulty,0.0
dcherman,0.0
irae,0.0
gdrsi,0.0
justinbmeyer,0.0
SaptakS,0.0
araghava,0.0
petersendidit,0.0
fmarcia,0.0
fracmak,0.0
LeonardoBraga,0.0
ruado1987,0.0
paulirish,0.0
PaulBRamos,0.0
stevemao,0.0
nanto,0.0
alexr101,0.0
ameyms,0.0
anthonyryan1,0.0
anton-ryzhov,0.0
arthurvr,0.0
AurelioDeRosa,0.0
batiste,0.0
bentruyman,0.0
ctalkington,0.0
ConnorAtherton,0.0
djanowski,0.0
danielchatfield,0.0
dgalvez,0.0
davidmurdoch,0.0
datag,0.0
pgilad,0.0
ikhair,0.0
MoonScript,0.0
JessThrysoee,0.0
Queeniebee,0.0
jonathansampson,0.0
kborchers,0.0
stonelee,0.0
LizaLemons,0.0
kumarmj,0.0
farmdawgnation,0.0
FarSeeing,0.0
robmorgan,0.0
tricknotes,0.0
sbisbee,0.0
hasclass,0.0
ShashankaNataraj,0.0
tjvantoll,0.0
terrycojones,0.0
treyhunner,0.0
antishok,0.0
victor-homyakov,0.0
abnud1,0.0
ros3cin,0.0
tomfuertes,0.0
adamco,0.0
aelafifi,0.0
aakinwunmi,0.0
alexlouden,0.0
sowcow,0.0
AlexanderOMara,0.0
alexisabril,0.0
cobrajs,0.0
amitmerchant1990,0.0
WebReflection,0.0
aspala,0.0
Andrei15193,0.0
amonat,0.0
andrewplummer,0.0
agcolom,0.0
valueof,0.0
NekR,0.0
campersau,0.0
mastahyeti,0.0
benjycui,0.0
bsorbo,0.0
berkerpeksag,0.0
enbo,0.0
rhyzx,0.0
teabyii,0.0
bperel,0.0
CDAGaming,0.0
callumacrae,0.0
calvinmetcalf,0.0
carldanley,0.0
ChadKillingsworth,0.0
faulkner,0.0
chrisprice,0.0
cvrebert,0.0
ChristianGrete,0.0
ckosmowski,0.0
coliff,0.0
christophetd,0.0
topaxi,0.0
danielhusar,0.0
DanielNill,0.0
sciolist,0.0
danilsomsikov,0.0
joyvuu-dave,0.0
davidben,0.0
broder,0.0
dcorb,0.0
DFoxinator,0.0
hongymagic,0.0
coopersemantics,0.0
dwilson6,0.0
dmitrygusev,0.0
mrspeaker,0.0
edg2s,0.0
eddiemonge,0.0
eriklax,0.3
fsateler,0.0
fortes,0.0
ForbesLindesay,0.0
fhemberger,0.0
gabrielschulhof,0.0
garysye,0.0
togakangaroo,0.0
gilmoreorless,0.0
ghazel,0.0
elgreg,0.0
guybedford,0.0
henryw4k,0.0
hzoo,0.0
iliakan,0.0
isaacs,0.0
jryans,0.0
fat,0.0
jacwright,0.0
netil,0.0
deadlyicon,0.0
jasonmerino,0.0
byroot,0.0
jefferyto,0.0
jdunck,0.0
jha-naman,0.0
jbruni,0.0
presbrey,0.0
jtrumbull,0.0
johnhoven,0.0
johnkpaul,0.0
jdufresne,0.0
evansj,0.0
jonhester,0.0
jobeland,0.0
jsoref,0.0
joshvarner,0.0
64lines,0.0
ufologist,0.0
JustinDrake,0.0
ksieburg,0.0
dalsgaard,0.0
shama,0.0
carpie,0.0
leobalter,0.0
poppinlp,0.0
lihanli,0.0
emibloque,0.0
morgangraphics,0.0
mgreter,0.0
mlewand,0.0
marjakh,0.0
jollytoad,0.0
markraddatz,0.0
staabm,0.0
vanderlee,0.0
matankb,0.0
matthewmueller,0.0
jaggli,0.0
mmonteleone,0.0
mmurray,0.0
jugglinmike,0.0
mpetrovich,0.0
mhbseal,0.0
nazar-pc,0.0
nicolashenry,0.0
NikGovorov,0.0
niltoncsr,0.0
iamnoah,0.0
pborreli,0.0
patocallaghan,0.0
pmac,0.0
foolip,0.0
caillou,0.0
rafbm,0.0
ralinc,0.0
RedWolves,0.0
reedloden,0.0
richdougherty,0.0
riichard,0.0
rvagg,0.0
rosenfeld,0.0
queequac,0.0
silverwind,0.0
rjgotten,0.0
ronny-springer,0.0
ryantenney,0.0
sheppard,0.0
thegrandpoobah,0.0
SeanHenderson,0.0
skrobinson,0.0
upisfree,0.0
shichuan,0.0
shivajivarma,0.0
Bubbi,0.0
ntwb,0.0
stevenbenner,0.0
inukshuk,0.0
tj,0.0
todorpr,0.0
tom--v,0.0
grimalschi,0.0
vitaliyterziev,0.0
private-face,0.0
vlazar,0.0
wwalser,0.0
wllm-rbnt,0.0
winhowes,0.0
wonseop,0.0
xavierm02,0.0
yiminghe,0.0
mixed,0.0
razic,0.0
zackhall,0.0
avaly,0.0
tbepdb,0.3
buddh4,0.0
cmc3cn,0.0
karan-96,0.0
njhamann,0.0
temp01,0.0
tmybr11,0.0
TechQuery,0.0
